Datacom 2024 Nov All Models Price List(VAT not included),,,,,,,,
,,SKU,Image,Ref Fournisseur,Nom,PVP HT,Categorie,
,,S220S-8P4J,,98012471,"HUAWEI S220S-8P4J (8*10/100/1000BASE-T ports (128 W PoE+), 4*2.5GE SFP ports, built-in AC power, Fanless)",2001,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-8P4JX,,98012473,"HUAWEI S220S-8P4JX (8*10/100/1000BASE-T (128 W PoE+), 2 ports 10GE SFP+, 2 ports 2,5GE SFP, built-in AC power, Fanless)",2327,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-10PN4JX,,98012475,"HUAWEI S220S-10PN4JX(8*10/100/1000BASE-T ports (6*PoE+), 2*10/100/1000/2.5GBASE-T Ports (PoE+), 2*10GE SFP+ ports, 2*2.5GE SFP ports, 128W PoE, built-in AC power, Fanless)",2552,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220-8P4S,,98012552,"HUAWEI S220-8P4S(8*10/100/1000BASE-T ports(125W PoE+),4*GE SFP ports, built-in AC power)",2797,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-24T4J,,98012502,"HUAWEI S220S-24T4J (24*10/100/1000BASE-T ports, 4*2.5GE SFP ports, built-in AC power, Fanless)",1817,"Switch web-manageable, Switch manageable, Switch",
,,S220S-24T4JX,,98012504,"HUAWEI S220S-24T4JX (24*10/100/1000BASE-T ports, 2*10GE SFP+ , 2*2.5GE SFP , AC power, Fanless)",2082,"Switch web-manageable, Switch manageable, Switch",
,,S220S-24LP4JX,,98012519,"HUAWEI S220S-24LP4JX (24*10/100/1000BASE-T ports (195 W PoE+), 2*10GE SFP+, 2*2.5GE SFP, AC power)",3246,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-24P4J,,98012516,"HUAWEI S220S-24P4J (24*10/100/1000BASE-T ports (400 W PoE+), 4*2.5GE SFP ports, built-in AC power)",3593,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-24P4JX,,98012518,"HUAWEI S220S-24P4JX (24*10/100/1000BASE-T ports (400 W PoE+), 2*10GE SFP+, 2*2.5GE SFP, built-in AC",4145,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220S-26PN4JX,,98012521,"HUAWEI S220S-26PN4JX (24*1000BASE-T (22*PoE+), 2*2.5GBASE-T Combo (PoE+), 2*10GE SFP+, 400W PoE,",4553,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220-24T4X,,98012328,"Huawei S220-24T4X (24*10/100/1000BASE-T ports, 4*10GE SFP+ ports, built-in AC power)",3144,"Switch web-manageable, Switch manageable, Switch",
,,S220-24P4X,,98012329,"Huawei S220-24P4X (24*10/100/1000BASE-T ports(400W PoE+), 4*10GE SFP+ ports, built-in AC power)",5410,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220-48T4S,,98012333,"Huawei S220-48T4S (48*10/100/1000BASE-T ports, 4*GE SFP ports, built-in AC power)",4594,"Switch web-manageable, Switch manageable, Switch",
,,S220-48T4X,,98012330,"Huawei S220-48T4X (48*10/100/1000BASE-T ports, 4*10GE SFP+ ports, built-in AC power)",4920,"Switch web-manageable, Switch manageable, Switch",
,,S220-48P4S,,98012332,"Huawei S220-48P4S (48*10/100/1000BASE-T ports(380W PoE+), 4*GE SFP ports, built-in AC power)",7861,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S220-48P4X,,98012331,"Huawei S220-48P4X (48*10/100/1000BASE-T ports(380W PoE+), 4*10GE SFP+ ports, built-in AC power)",8228,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310S-8T2X,,98012459,"HUAWEI S310S-8T2X (8*10/100/1000BASE-T ports, 2*10GE SFP+ ports, built-in AC power, Fanless)",1470,"Switch web-manageable, Switch manageable, Switch",
,,S310S-8P4JX,,98012479,"HUAWEI S310S-8P4JX (8*1000BASE-T ports (PoE+), 2*10GE SFP+ ports, 2*2.5GE SFP ports, AC pwr, Fanless",2552,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310S-10PN4JX,,98012481,"HUAWEI S310S-10PN4JX (8*10/100/1000BASE-T ports (6*PoE+), 2*10/100/1000/2.5GBASE-T Ports (PoE+)",2776,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310S-24T4J,,98012506,"HUAWEI S310S-24T4J (24*10/100/1000BASE-T ports, 4*2.5GE SFP ports, built-in AC power, Fanless)",2082,"Switch web-manageable, Switch manageable, Switch",
,,S310S-24T4JX,,98012508,"HUAWEI S310S-24T4JX (24*1000BASE-T, 2*10GE SFP+, 2*2.5GE SFP,AC power, Fanless)",2286,"Switch web-manageable, Switch manageable, Switch",
,,S310S-24P4J,,98012523,"HUAWEI S310S-24P4J (24*10/100/1000BASE-T ports (400 W PoE+), 4*2.5GE SFP ports, built-in AC power)",4145,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310S-24P4JX,,98012525,"HUAWEI S310S-24P4JX (24*1000BASE-T (400 W PoE+), 2*10GE SFP+, 2*2.5GE SFP, AC power)",4553,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310S-26PN4JX,,98012527,"HUAWEI S310S-26PN4JX (24*1000BASE-T (22*PoE+), 2*2.5GBASE-T Combo (PoE+), 2*10GE SFP+, 400 W PoE,",5023,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310-24T4S,,98012202,"HUAWEI S310-24T4S (24*10/100/1000BASE-T ports, 4*GE SFP ports, AC power)",3634,"Switch web-manageable, Switch manageable, Switch",
,,S310-24P4S,,98012201,"HUAWEI S310-24P4S (24*10/100/1000BASE-T ports, 4*GE SFP ports, PoE+, AC power)",6043,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310-24T4X,,98012334,"HUAWEI S310-24T4X (24*10/100/1000BASE-T ports, 4*10GE SFP+ ports, built-in AC power)",3818,"Switch web-manageable, Switch manageable, Switch",
,,S310-24P4X,,98012335,"HUAWEI S310-24P4X (24*10/100/1000BASE-T ports(400W PoE+), 4*10GE SFP+ ports, built-in AC power)",6574,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310-24ST4X,,98012532,"HUAWEI S310-24ST4X(24*GE SFP ports, 8 of which are dual-purpose 10/100/1000 or SFP, 4*10GE SFP+",6105,"Switch web-manageable, Switch manageable, Switch",
,,S310-24PN4X,,98012534,"HUAWEI S310-24PN4X(24*10/100/1000/2.5GBASE-T ports(400W PoE+), 4*10GE SFP+ ports, built-in AC power",8514,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310-48T4S,,98012203,"HUAWEI S310-48T4S (48*10/100/1000BASE-T ports, 4*GE SFP ports, AC power)",5410,"Switch web-manageable, Switch manageable, Switch",
,,S310-48T4X,,98012336,"HUAWEI S310-48T4X (48*10/100/1000BASE-T ports, 4*10GE SFP+ ports, built-in AC power)",5860,"Switch web-manageable, Switch manageable, Switch",
,,S310-48P4S,,98012337,"HUAWEI S310-48P4S (48*10/100/1000BASE-T ports(380W PoE+), 4*GE SFP ports, built-in AC power)",9372,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S310-48P4X,,98012338,"HUAWEI S310-48P4X (48*10/100/1000BASE-T ports(380W PoE+), 4*10GE SFP+ ports, built-in AC power)",9821,"Switch POE, Switch web-manageable, Switch manageable, Switch",
,,S530-48S4XE,,98012558,"HUAWEI S530-48S4XE(48*GE SFP, 4*10GE SFP+, 2*12GE stack ports, with 1*AC power module)",13170,"Switch web-manageable, Switch manageable, Switch",
,,S530-24ST4XE,,98012556,"HUAWEI S530-24ST4XE(16*GE SFP, 8 GE Combo, 4*10GE SFP+ ports, 2*12GE stack ports, with 1*AC power)",9065,"Switch web-manageable, Switch manageable, Switch",
,,S530-24T4XE,,98012554,"HUAWEI S530-24T4XE(24*10/100/1000BASE-T , 4*10GE SFP+, 2*12GE stack ports, with 1*AC power module)",7554,"Switch web-manageable, Switch manageable, Switch",
,,S620-24T16X8Y2CZ,,98012536,"HUAWEI S620-24T16X8Y2CZ(24*1000BASE-T,16*10GE SFP+,8*25GE SFP28,2*100GE QSFP28, exp card slot,1*AC power module)",16477,"Switch web-manageable, Switch manageable, Switch",
,,S380-L4T1T,,98012177,"HUAWEI S380-L4T1T (1*GE WAN, 4*GE LAN, up to 150 users, forwarding performance 2Gbps",1939,"Passerelle (Gateway), WIFI",
,,S380-L4P1T,,98012178,"HUAWEI S380-L4P1T (1*GE WAN, 4*GE LAN (PoE+, 50W), up to 150 users, forwarding performance 2Gbps)",3246,"Passerelle (Gateway), WIFI",
,,S380-S8T2T,,98012179,"HUAWEI S380-S8T2T (2*GE WAN, 8*GE LAN,  up to 250 users, forwarding performance 2Gbps)",3144,"Passerelle (Gateway), WIFI",
,,S380-S8P2T,,98012180,"HUAWEI S380-S8P2T (2*GE WAN, 8*GE LAN(PoE+, 124W, up to 350 users, forwarding performance 2Gbps)",5206,"Passerelle (Gateway), WIFI",
,,S380-H8T3ST,,98012181,"HUAWEI S380-H8T3ST (2*GE WAN, 1*GE(SFP) WAN, 8*GE LAN,  up to 500 users,Forwarding performance 2Gbps)",5472,"Passerelle (Gateway), WIFI",
,,AR720,,02354GBG-001,"Huawei AR720 (2*GE combo WAN, 8*GE LAN, 2*USB 2.0, 2*SIC, up to 700 users, forwarding performance 4Gbps)",8249,"Passerelle (Gateway), WIFI",
,,AR730,,02354GBM-001,"Huawei AR730 (2*GE combo WAN, 1*10GE(SFP+) WAN, 8*GE LAN, 1*GE combo LAN, 2*USB 2.0, 2*SIC, up to 1200 users, forwarding performance 6Gbps)",11414,"Passerelle (Gateway), WIFI",
,,AR303,,50010533,"HUAWEI Router (AR303,1*GE COMBO WAN, 4*GE LAN, 1*USB 2.0, up to 200 users, fwd perf 1Gbps)",1653,"Passerelle (Gateway), WIFI",
,,OSX040N01,,02310CNF,"HUAWEI OSX040N01 (Optical Transceiver,SFP+,10G,Single-mode Module(1550nm,40km,LC)",8065,"Module SFP, Accessoires Réseau et optique",
,,SFP-10G-USR,,02310MNW,"HUAWEI SFP-10G-USR (10GBase-USR Optical Transceiver,SFP+,10G,Multi-mode Module (850nm,0.1km,LC)",510,"Module SFP, Accessoires Réseau et optique",
,,SFP-10G-CU1M,,02310MUN,"HUAWEI SFP-10G-CU1M (SFP+,10G,High Speed Direct-attach Cables,1m,SFP+20M,CC2P0.254B(S), SFP+20M, Used indoor)",673,"Module SFP, Accessoires Réseau et optique",
,,SFP-10G-CU3M,,02310MUP,"HUAWEI  SFP-10G-CU3M (SFP+,10G,High Speed Direct-attach Cables,3m,SFP+20M,CC2P0.254B(S), SFP+20M, Used indoor)",673,"Module SFP, Accessoires Réseau et optique",
,,SFP-10G-AOC10M,,02310QWH,"HUAWEI SFP-10G-AOC10M (AOC Optical Transceiver,SFP+,850nm,1G~10G,10m)",1939,"Module SFP, Accessoires Réseau et optique",
,,SFP-10G-ZR,,02310SNN,"HUAWEI SFP-10G-ZR (Optical Transceiver,SFP+,10G,Single-mode Module(1550nm,80km,LC)",16396,"Module SFP, Accessoires Réseau et optique",
